1,200,1236,1/2/2021,FALSE
2,200,1247,1/2/2021,FALSE
3,200,1240,1/2/2021,FALSE
4,206,1238,1/2/2021,TRUE
5,206,1240,1/2/2021,FALSE
6,206,1244,1/2/2021,TRUE
7,206,1246,1/2/2021,TRUE
8,201,1235,2/2/2021,FALSE
9,202,1239,2/2/2021,FALSE
10,202,1234,2/2/2021,FALSE
11,200,1239,3/3/2021,TRUE
12,207,1236,3/3/2021,TRUE
13,208,1237,3/3/2021,TRUE
14,204,1234,4/4/2021,FALSE
15,204,1247,4/4/2021,FALSE
16,204,1236,4/4/2021,TRUE
17,204,1243,4/4/2021,FALSE
18,203,1234,5/5/2021,FALSE
19,202,1239,5/5/2021,FALSE
20,203,1238,5/5/2021,FALSE
21,205,1239,6/6/2021,TRUE
22,205,1245,6/6/2021,FALSE
23,205,1240,7/7/2021,TRUE
