"(240,240,240)","(240,240,240)","(240,240,240)","(240,240,240)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(240,240,240)","(240,240,240)","(240,240,240)","(240,240,240)"
"(240,240,240)","(240,240,240)","(240,240,240)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(240,240,240)"
"(240,240,240)","(240,240,240)","(240,240,240)","(96,96,16)","(96,96,16)","(96,96,16)","(224,144,48)","(224,144,48)","(96,96,16)","(224,144,48)","(240,240,240)","(240,240,240)","(240,240,240)"
"(240,240,240)","(240,240,240)","(96,96,16)","(224,144,48)","(96,96,16)","(224,144,48)","(224,144,48)","(224,144,48)","(96,96,16)","(224,144,48)","(224,144,48)","(224,144,48)","(240,240,240)"
"(240,240,240)","(240,240,240)","(96,96,16)","(224,144,48)","(96,96,16)","(96,96,16)","(224,144,48)","(224,144,48)","(224,144,48)","(96,96,16)","(224,144,48)","(224,144,48)","(224,144,48)"
"(240,240,240)","(240,240,240)","(96,96,16)","(96,96,16)","(224,144,48)","(224,144,48)","(224,144,48)","(224,144,48)","(96,96,16)","(96,96,16)","(96,96,16)","(96,96,16)","(240,240,240)"
"(240,240,240)","(240,240,240)","(240,240,240)","(240,240,240)","(224,144,48)","(224,144,48)","(224,144,48)","(224,144,48)","(224,144,48)","(224,144,48)","(224,144,48)","(240,240,240)","(240,240,240)"
"(240,240,240)","(240,240,240)","(240,240,240)","(96,96,16)","(96,96,16)","(160,48,32)","(96,96,16)","(96,96,16)","(96,96,16)","(240,240,240)","(240,240,240)","(240,240,240)","(240,240,240)"
"(240,240,240)","(240,240,240)","(96,96,16)","(96,96,16)","(96,96,16)","(160,48,32)","(96,96,16)","(96,96,16)","(160,48,32)","(96,96,16)","(96,96,16)","(96,96,16)","(240,240,240)"
"(240,240,240)","(96,96,16)","(96,96,16)","(96,96,16)","(96,96,16)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(96,96,16)","(96,96,16)","(96,96,16)","(96,96,16)"
"(240,240,240)","(224,144,48)","(224,144,48)","(96,96,16)","(160,48,32)","(224,144,48)","(160,48,32)","(160,48,32)","(224,144,48)","(160,48,32)","(96,96,16)","(224,144,48)","(224,144,48)"
"(240,240,240)","(224,144,48)","(224,144,48)","(224,144,48)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(224,144,48)","(224,144,48)","(224,144,48)"
"(240,240,240)","(224,144,48)","(224,144,48)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(160,48,32)","(224,144,48)","(224,144,48)"
"(240,240,240)","(240,240,240)","(240,240,240)","(160,48,32)","(160,48,32)","(160,48,32)","(240,240,240)","(240,240,240)","(160,48,32)","(160,48,32)","(160,48,32)","(240,240,240)","(240,240,240)"
"(240,240,240)","(240,240,240)","(96,96,16)","(96,96,16)","(96,96,16)","(240,240,240)","(240,240,240)","(240,240,240)","(240,240,240)","(96,96,16)","(96,96,16)","(96,96,16)","(240,240,240)"
"(240,240,240)","(96,96,16)","(96,96,16)","(96,96,16)","(96,96,16)","(240,240,240)","(240,240,240)","(240,240,240)","(240,240,240)","(96,96,16)","(96,96,16)","(96,96,16)","(96,96,16)"
